id,date,sst
60.125_5.125,01-May-0082,29.08
60.125_5.125,02-May-0082,29.39
60.125_5.125,03-May-0082,27.93
60.125_5.125,04-May-0082,28.45
60.125_5.125,05-May-0082,29.55
60.125_5.125,06-May-0082,29.56
60.125_5.125,07-May-0082,28.66
60.125_5.125,08-May-0082,29.3
60.125_5.125,09-May-0082,28.68
60.125_5.125,10-May-0082,29.34
60.125_5.125,11-May-0082,29.16
60.125_5.125,12-May-0082,29.59
60.125_5.125,13-May-0082,28.07
60.125_5.125,14-May-0082,29.19
60.125_5.125,15-May-0082,29.91
60.125_5.125,16-May-0082,29.25
60.125_5.125,17-May-0082,29.41
60.125_5.125,18-May-0082,27.93
60.125_5.125,19-May-0082,28.77
60.125_5.125,20-May-0082,29.49
60.125_5.125,21-May-0082,29.52
60.125_5.125,22-May-0082,28.1
60.125_5.125,23-May-0082,27.26
60.125_5.125,24-May-0082,29.03
60.125_5.125,25-May-0082,28.23
60.125_5.125,26-May-0082,28.07
60.125_5.125,27-May-0082,28.66
60.125_5.125,28-May-0082,28.35
60.125_5.125,29-May-0082,28.14
60.125_5.125,30-May-0082,28.45
60.125_5.125,31-May-0082,28.31
60.125_5.125,01-Jun-0082,28.48
60.125_5.125,02-Jun-0082,29.31
60.125_5.125,03-Jun-0082,26.28
60.125_5.125,04-Jun-0082,29.1
60.125_5.125,05-Jun-0082,28.38
60.125_5.125,06-Jun-0082,27.48
60.125_5.125,07-Jun-0082,28.32
60.125_5.125,08-Jun-0082,27.72
60.125_5.125,09-Jun-0082,26.24
60.125_5.125,10-Jun-0082,28.11
60.125_5.125,11-Jun-0082,27.54
60.125_5.125,12-Jun-0082,28.65
60.125_5.125,13-Jun-0082,27.15
60.125_5.125,14-Jun-0082,28.28
60.125_5.125,15-Jun-0082,28.0
60.125_5.125,16-Jun-0082,27.99
60.125_5.125,17-Jun-0082,29.03
60.125_5.125,18-Jun-0082,28.49
60.125_5.125,19-Jun-0082,28.11
60.125_5.125,20-Jun-0082,27.66
60.125_5.125,21-Jun-0082,27.03
60.125_5.125,22-Jun-0082,29.21
60.125_5.125,23-Jun-0082,28.25
60.125_5.125,24-Jun-0082,28.05
60.125_5.125,25-Jun-0082,28.19
60.125_5.125,26-Jun-0082,27.98
60.125_5.125,27-Jun-0082,28.79
60.125_5.125,28-Jun-0082,28.79
60.125_5.125,29-Jun-0082,28.39
60.125_5.125,30-Jun-0082,28.38
60.125_5.125,01-Jul-0082,28.14
60.125_5.125,02-Jul-0082,27.14
60.125_5.125,03-Jul-0082,29.1
60.125_5.125,04-Jul-0082,27.81
60.125_5.125,05-Jul-0082,27.88
60.125_5.125,06-Jul-0082,28.13
60.125_5.125,07-Jul-0082,28.58
60.125_5.125,08-Jul-0082,28.05
60.125_5.125,09-Jul-0082,29.24
60.125_5.125,10-Jul-0082,29.64
60.125_5.125,11-Jul-0082,29.21
60.125_5.125,12-Jul-0082,28.7
60.125_5.125,13-Jul-0082,27.57
60.125_5.125,14-Jul-0082,28.26
60.125_5.125,15-Jul-0082,28.46
60.125_5.125,16-Jul-0082,30.13
60.125_5.125,17-Jul-0082,29.2
60.125_5.125,18-Jul-0082,28.28
60.125_5.125,19-Jul-0082,27.8
60.125_5.125,20-Jul-0082,28.29
60.125_5.125,21-Jul-0082,29.14
60.125_5.125,22-Jul-0082,28.29
60.125_5.125,23-Jul-0082,28.91
60.125_5.125,24-Jul-0082,27.27
60.125_5.125,25-Jul-0082,28.06
60.125_5.125,26-Jul-0082,29.25
60.125_5.125,27-Jul-0082,28.12
60.125_5.125,28-Jul-0082,29.01
60.125_5.125,29-Jul-0082,28.52
60.125_5.125,30-Jul-0082,27.3
60.125_5.125,31-Jul-0082,28.65
60.125_5.125,01-Aug-0082,28.85
60.125_5.125,02-Aug-0082,28.37
60.125_5.125,03-Aug-0082,29.68
60.125_5.125,04-Aug-0082,28.61
60.125_5.125,05-Aug-0082,28.85
60.125_5.125,06-Aug-0082,28.61
60.125_5.125,07-Aug-0082,28.63
60.125_5.125,08-Aug-0082,29.31
60.125_5.125,09-Aug-0082,29.85
60.125_5.125,10-Aug-0082,28.21
60.125_5.125,11-Aug-0082,28.54
60.125_5.125,12-Aug-0082,29.27
60.125_5.125,13-Aug-0082,28.36
60.125_5.125,14-Aug-0082,30.62
60.125_5.125,15-Aug-0082,28.4
60.125_5.125,16-Aug-0082,28.29
60.125_5.125,17-Aug-0082,27.69
60.125_5.125,18-Aug-0082,29.37
60.125_5.125,19-Aug-0082,31.95
60.125_5.125,20-Aug-0082,31.13
60.125_5.125,21-Aug-0082,28.97
60.125_5.125,22-Aug-0082,28.62
60.125_5.125,23-Aug-0082,28.89
60.125_5.125,24-Aug-0082,28.91
60.125_5.125,25-Aug-0082,29.78
60.125_5.125,26-Aug-0082,28.98
60.125_5.125,27-Aug-0082,28.91
60.125_5.125,28-Aug-0082,27.66
60.125_5.125,29-Aug-0082,29.43
60.125_5.125,30-Aug-0082,29.06
60.125_5.125,31-Aug-0082,30.62
